location_type,family_income,financial_aid_status,distance_to_institute,internet_connectivity_issues,motivation_score,career_alignment,stress_levels,family_support,attendance_rate,test_scores_avg,backlogs,teaching_quality_rating,dropout
Semi-urban,23150.0,2,10.3,0,4,2,3,1,10.0,53.6,0,7,1
Urban,14265.0,1,2.7,1,5,2,2,1,43.2,35.0,1,6,0
Urban,50000.0,0,3.3,1,9,2,1,2,68.8,60.2,0,7,0
Urban,4119.0,0,8.2,1,6,2,2,3,44.7,40.4,2,6,1
Rural,14592.0,1,50.0,2,5,3,3,3,45.4,68.3,3,7,1
Urban,4159.0,0,6.5,0,5,2,3,3,36.1,76.1,6,9,1
Rural,23943.0,0,1.58,0,7,2,2,2,90.9,93.4,1,10,0
Rural,7232.0,0,17.62,2,7,2,2,1,33.7,35.0,1,7,1
Urban,6432.0,1,20.5,1,7,2,2,3,62.3,48.3,0,4,0
Rural,5686.0,1,1.07,0,10,3,2,2,67.0,65.9,7,6,1
Urban,41344.0,1,0.8,0,2,1,3,1,44.4,84.8,1,8,0
Rural,10351.0,0,1.07,2,10,3,1,2,74.6,50.6,0,8,0
Semi-urban,9443.0,0,8.4,1,5,2,3,3,10.0,58.5,0,4,1
Urban,50000.0,2,2.0,0,5,2,2,3,44.0,35.0,9,6,1
Rural,3143.0,1,2.66,0,4,2,3,1,46.4,35.0,0,4,1
Urban,3362.0,0,9.0,0,6,3,3,1,42.8,52.7,0,3,1
Rural,8229.0,0,5.36,0,5,2,2,1,10.0,55.8,1,7,0
Rural,4262.0,0,0.79,0,9,3,1,2,69.4,60.2,0,6,0
Semi-urban,38222.0,1,41.3,1,7,2,3,1,28.3,39.9,1,9,1
Urban,48052.0,2,10.7,1,5,1,1,2,45.0,47.6,2,5,0
Rural,2000.0,2,22.5,2,10,3,2,2,14.5,56.2,2,6,1
Rural,6802.0,0,1.26,0,2,1,3,1,69.9,46.6,7,5,1
Rural,5428.0,0,3.42,0,10,2,2,3,61.8,100.0,2,10,0
Semi-urban,20587.0,2,0.5,1,4,2,3,1,48.0,53.9,5,6,1
Semi-urban,6790.0,0,1.5,0,9,3,2,3,75.0,50.1,0,7,0
Rural,23098.0,1,0.76,1,5,3,3,2,66.9,56.6,2,4,1
Semi-urban,8288.0,1,5.0,1,3,1,2,3,44.9,35.2,1,4,1
Semi-urban,7706.0,2,16.7,1,7,2,2,2,23.7,58.2,0,7,0
Semi-urban,8674.0,0,12.0,1,8,2,3,2,86.0,59.7,0,5,1
Rural,6302.0,1,10.54,0,7,2,2,1,41.5,52.8,2,7,1
Semi-urban,5851.0,1,6.1,1,3,1,3,1,71.1,35.0,3,4,1
Urban,31884.0,0,0.5,2,8,2,2,2,17.6,70.3,1,10,0
Rural,20981.0,1,9.86,0,6,1,2,3,64.0,50.7,6,8,1
Rural,4393.0,1,2.62,2,4,1,3,1,16.8,52.4,5,6,1
Urban,4497.0,1,4.7,0,6,3,2,3,21.4,40.0,1,8,0
Urban,3751.0,0,4.7,0,6,3,3,2,73.5,71.8,0,6,0
Semi-urban,14504.0,1,9.8,2,3,1,2,2,55.3,37.6,0,5,1
Urban,12906.0,0,5.4,0,6,1,1,3,77.8,72.6,0,7,0
Semi-urban,26594.0,2,5.7,2,9,3,1,3,14.4,39.2,8,4,1
Rural,8044.0,0,30.24,0,5,2,3,1,53.4,60.4,1,7,1
Rural,2000.0,1,16.7,0,8,3,2,2,32.9,52.1,0,10,0
Rural,7800.0,1,7.82,0,9,2,3,2,29.2,55.2,1,7,0
Semi-urban,31266.0,0,6.4,1,7,3,2,3,96.1,42.6,0,3,0
Rural,5410.0,2,12.56,0,10,2,1,3,86.1,76.1,0,8,0
Rural,2045.0,0,26.0,1,7,2,2,2,39.7,60.7,1,8,1
Rural,6984.0,1,23.06,2,4,1,2,2,32.5,71.1,4,8,1
Semi-urban,4520.0,0,5.3,2,6,3,3,3,65.3,57.0,0,6,0
Semi-urban,24784.0,0,6.3,1,4,1,2,3,79.9,49.2,0,4,0
Urban,8256.0,1,10.7,1,6,1,1,3,72.3,67.2,1,6,0
Urban,12055.0,0,4.4,0,6,3,3,1,67.2,45.8,0,4,0
Rural,28416.0,1,3.0,1,4,1,1,3,10.0,63.4,5,7,1
Urban,9891.0,1,5.9,1,3,1,3,1,59.3,46.8,9,6,1
Semi-urban,28651.0,1,2.5,0,10,3,2,3,72.9,96.8,0,8,0
Rural,6498.0,1,29.1,1,10,2,1,3,76.5,79.5,0,3,0
Rural,9076.0,1,12.03,2,8,2,3,2,75.3,63.9,0,7,0
Semi-urban,25341.0,0,8.2,0,6,2,1,2,91.7,71.8,0,4,0
Semi-urban,3160.0,0,4.5,0,2,1,2,2,41.6,67.0,3,9,1
Rural,5706.0,0,4.66,0,5,1,2,2,93.7,53.5,3,2,1
Rural,3245.0,0,15.3,0,5,2,2,2,40.3,51.3,2,8,1
Rural,10572.0,1,30.32,0,8,2,1,2,32.1,73.1,1,3,0
Rural,2000.0,1,10.92,0,6,2,2,2,60.2,81.7,0,7,0
Rural,4797.0,0,18.47,1,3,1,2,2,36.8,70.8,1,6,1
Rural,25815.0,0,22.2,2,9,2,2,2,60.8,40.0,0,7,0
Urban,45496.0,1,8.8,2,3,3,3,3,58.5,45.3,9,4,1
Rural,6527.0,2,26.88,1,5,2,2,3,18.3,44.7,0,10,1
Rural,10280.0,0,0.77,1,10,3,2,3,81.1,57.0,2,6,0
Urban,26273.0,1,19.6,1,10,3,1,2,35.4,44.1,1,10,0
Rural,8991.0,2,5.09,2,3,1,3,2,66.0,41.6,0,3,1
Rural,19861.0,1,5.36,0,4,2,1,2,81.3,73.7,0,6,0
Urban,8549.0,1,3.2,2,7,2,2,3,69.1,64.7,2,7,0
Rural,3367.0,0,0.74,0,8,2,2,3,49.0,54.8,0,3,0
Urban,12166.0,0,5.1,1,3,1,3,1,66.6,73.4,0,5,1
Semi-urban,6968.0,2,8.9,2,3,1,2,1,59.6,56.5,0,5,1
Urban,10534.0,0,1.9,1,3,2,3,3,10.0,75.3,3,8,1
Rural,13910.0,1,7.33,2,5,2,3,1,80.0,48.8,0,5,0
Semi-urban,11441.0,0,4.0,1,6,2,3,3,78.4,78.3,0,7,0
Semi-urban,23382.0,0,6.8,1,6,2,1,2,56.5,77.0,0,7,0
Rural,10020.0,1,2.29,1,6,2,3,2,48.7,35.0,1,5,1
Urban,19079.0,2,11.0,1,3,1,3,1,73.1,49.2,0,4,0
Urban,17643.0,1,4.4,0,6,2,1,2,65.2,62.3,0,10,0
Semi-urban,2659.0,1,15.8,2,8,2,2,2,45.7,35.0,0,3,1
Rural,6966.0,0,3.39,0,2,1,2,2,54.6,66.7,0,8,1
Rural,4694.0,1,31.62,0,7,2,2,3,82.4,66.3,8,6,1
Semi-urban,5583.0,2,1.8,0,8,3,3,3,82.8,52.1,0,6,0
Urban,7948.0,2,1.7,1,8,3,2,2,27.2,74.0,7,6,1
Rural,7234.0,0,0.68,1,4,1,2,2,55.2,59.2,2,8,1
Semi-urban,2605.0,0,8.9,1,4,2,3,1,69.9,71.8,0,6,0
Urban,32098.0,0,19.6,0,6,1,2,3,80.6,74.2,3,5,0
Semi-urban,14243.0,0,0.5,0,5,2,2,1,46.9,63.1,6,10,1
Rural,6013.0,0,9.76,0,4,1,2,2,72.7,92.7,0,8,0
Urban,3059.0,1,0.5,1,5,1,1,2,68.7,45.8,0,4,0
Urban,4581.0,1,6.4,1,4,1,2,3,86.9,82.0,0,8,0
Semi-urban,3971.0,2,9.9,2,10,3,1,2,10.0,61.0,2,5,0
Semi-urban,7316.0,1,5.5,0,2,1,2,1,93.6,45.8,0,6,0
Urban,6815.0,1,1.5,1,5,1,2,2,65.0,67.6,0,8,0
Semi-urban,6134.0,2,6.9,0,5,1,2,2,60.0,61.5,0,6,0
Urban,4189.0,0,2.0,2,10,2,2,3,42.3,67.6,9,7,1
Urban,4617.0,1,29.5,0,6,2,3,2,78.8,72.8,0,6,0
Rural,4932.0,1,9.45,1,5,1,1,1,83.0,45.4,1,7,0
Semi-urban,4058.0,1,1.6,1,7,2,2,2,69.0,61.9,0,7,0
Rural,11667.0,2,10.49,0,5,2,3,1,77.1,41.5,1,7,0
Urban,17229.0,0,18.8,2,7,2,3,2,81.5,63.4,0,6,0
Urban,16238.0,1,14.3,1,10,3,3,2,64.2,67.1,4,5,0
Semi-urban,23403.0,0,0.5,0,6,1,2,2,10.0,51.4,1,6,0
Rural,6440.0,1,12.1,0,4,1,3,1,84.0,73.9,0,9,0
Rural,9141.0,2,0.7,1,7,2,2,3,60.3,51.6,2,3,0
Urban,10533.0,0,16.7,1,10,2,2,3,75.8,76.9,0,7,0
Semi-urban,14248.0,0,1.2,0,5,1,2,2,76.1,44.8,5,4,1
Urban,10083.0,1,0.5,0,10,3,2,2,61.2,57.8,0,5,0
Urban,30997.0,1,35.1,0,4,2,2,1,10.0,35.0,0,5,1
Rural,4522.0,1,10.97,1,4,2,3,1,58.1,76.8,2,6,1
Semi-urban,12419.0,1,5.7,0,7,2,2,3,93.7,100.0,1,9,0
Urban,33382.0,2,14.2,1,10,3,1,2,42.6,50.8,0,4,0
Semi-urban,7132.0,0,0.5,1,4,2,3,1,18.6,58.7,1,6,1
Rural,9493.0,2,14.99,0,8,2,1,2,69.0,82.8,0,9,0
Urban,6088.0,1,0.5,0,6,2,1,1,27.9,50.4,1,9,0
Semi-urban,4852.0,0,13.0,1,5,2,3,1,90.5,39.7,0,6,1
Rural,22395.0,2,8.95,1,5,2,3,1,53.4,56.1,0,9,0
Urban,19345.0,0,4.6,1,3,2,3,1,62.4,68.3,0,4,0
Rural,8139.0,2,19.47,2,8,2,1,3,64.3,42.8,0,6,0
Rural,2190.0,0,2.51,1,8,3,3,3,77.1,54.5,2,3,1
Semi-urban,31547.0,1,5.5,0,6,2,3,3,12.1,53.3,3,6,1
Semi-urban,8360.0,0,9.4,0,8,2,2,3,84.1,42.8,1,6,0
Semi-urban,2562.0,0,1.7,0,7,3,2,3,82.1,84.2,0,6,0
Urban,9437.0,1,3.3,2,6,3,2,2,95.5,58.2,9,3,1
Rural,6399.0,0,2.16,2,1,1,1,2,61.5,39.5,0,10,1
Urban,50000.0,2,4.7,0,6,3,1,2,11.1,66.4,1,7,0
Semi-urban,7505.0,1,5.3,0,5,2,1,3,33.6,67.5,4,8,1
Urban,16440.0,1,4.9,1,2,1,2,3,63.9,36.0,0,6,1
Rural,16982.0,1,8.04,0,4,2,1,2,26.2,80.0,1,6,0
Rural,3078.0,1,14.08,1,3,1,3,3,41.6,70.5,3,6,1
Urban,10433.0,2,9.6,2,5,1,3,2,72.8,44.5,0,10,0
Rural,5460.0,1,7.28,0,8,2,1,2,64.6,37.6,1,7,0
Rural,3687.0,2,33.82,0,5,2,2,2,36.1,41.2,3,9,1
Rural,10548.0,0,26.91,2,9,2,3,3,25.0,53.9,7,5,1
Semi-urban,36844.0,1,31.8,0,10,3,1,2,78.1,53.6,0,3,0
Semi-urban,27405.0,0,1.3,0,1,1,3,1,35.2,46.2,0,10,1
Urban,16368.0,1,1.3,1,4,1,1,2,77.1,70.5,3,7,0
Semi-urban,19765.0,1,4.2,0,5,2,2,3,77.6,60.4,0,6,0
Semi-urban,6987.0,0,21.2,1,6,2,3,3,43.4,51.4,4,5,1
Urban,13489.0,1,8.9,0,3,1,3,1,19.3,71.6,2,7,1
Semi-urban,13181.0,0,16.9,0,3,1,3,1,63.5,69.3,0,3,1
Urban,6899.0,2,27.1,1,4,1,1,2,49.5,42.5,3,3,1
Semi-urban,7352.0,1,6.3,0,4,2,3,2,69.4,79.5,4,6,1
Semi-urban,3325.0,2,4.4,0,9,2,1,2,49.4,36.0,0,6,0
Semi-urban,2000.0,0,9.8,0,6,3,2,3,35.4,41.6,3,6,1
Semi-urban,12294.0,0,6.6,1,7,2,1,2,49.4,69.6,1,7,0
Urban,9763.0,1,3.8,0,7,2,3,2,66.5,60.0,0,6,0
Rural,7089.0,0,41.19,0,6,3,3,3,54.3,66.0,0,5,1
Rural,5767.0,2,15.09,2,6,2,2,2,91.2,50.2,0,6,0
Rural,4460.0,1,14.99,2,3,1,3,3,33.4,64.2,0,7,1
Rural,12389.0,0,17.58,2,7,2,1,2,61.8,94.2,8,10,1
Rural,19479.0,1,1.18,2,3,2,3,3,62.7,93.6,0,7,1
Semi-urban,9162.0,0,0.5,1,3,1,2,1,38.6,55.0,7,3,1
Rural,13314.0,1,26.39,0,4,2,3,2,26.2,58.5,3,8,1
Urban,14068.0,0,14.8,1,6,3,3,1,69.2,55.2,0,4,0
Semi-urban,7108.0,2,6.1,1,4,1,1,3,83.1,35.0,0,4,0
Rural,3566.0,1,2.54,0,6,1,1,2,10.0,35.0,5,6,1
Urban,6087.0,0,2.3,1,5,2,2,1,74.6,74.3,0,10,0
Urban,43329.0,0,0.5,1,5,2,3,1,62.8,50.4,1,10,0
Rural,4200.0,0,11.23,1,7,2,3,2,57.9,60.2,1,8,1
Urban,15781.0,0,10.4,2,2,1,3,2,28.4,61.6,5,8,1
Semi-urban,9341.0,0,11.8,0,9,2,2,3,78.3,40.4,0,7,0
Urban,13586.0,1,15.1,2,7,2,3,1,84.2,35.0,0,4,0
Semi-urban,2000.0,0,1.3,2,10,3,1,3,79.9,55.7,0,6,0
Rural,16934.0,2,17.22,0,6,2,3,1,79.5,93.1,0,10,0
Rural,6822.0,1,3.13,2,4,2,2,2,12.3,35.0,1,7,1
Semi-urban,22304.0,1,2.2,1,5,1,2,2,59.2,69.6,0,8,0
Semi-urban,30618.0,1,12.5,1,3,2,2,3,55.6,43.5,7,7,1
Urban,26593.0,0,10.9,1,6,2,1,2,72.9,57.9,1,8,0
Semi-urban,11691.0,2,0.7,0,3,2,2,2,21.0,56.2,4,8,1
Rural,13396.0,0,1.06,0,3,2,2,1,36.7,43.1,1,5,1
Rural,2501.0,0,0.73,0,3,1,2,2,68.3,48.5,0,7,1
Semi-urban,3671.0,0,6.2,2,5,2,2,1,70.5,46.6,0,4,1
Urban,6723.0,1,1.2,1,3,1,3,3,19.4,48.8,3,5,1
Urban,5300.0,1,0.5,0,8,2,2,2,10.0,40.4,0,5,0
Semi-urban,5716.0,0,1.5,1,10,3,2,3,10.0,79.6,3,5,1
Semi-urban,2000.0,1,0.6,1,3,1,1,1,74.8,50.3,2,8,1
Rural,4586.0,0,7.2,0,6,2,2,3,75.0,56.7,0,7,0
Urban,2876.0,1,6.5,2,9,2,2,2,86.1,73.1,0,5,0
Semi-urban,3146.0,0,7.1,0,5,2,3,1,82.5,83.2,0,5,0
Urban,10016.0,1,13.2,0,2,1,3,2,64.6,65.8,0,7,0
Rural,5492.0,0,17.52,1,4,2,3,1,79.5,57.4,0,6,1
Semi-urban,11984.0,1,3.4,1,9,3,1,3,76.4,80.9,6,8,0
Rural,6644.0,1,7.99,0,4,1,2,2,94.7,92.5,1,6,0
Urban,8514.0,2,9.7,0,6,2,1,2,45.5,63.0,1,7,0
Urban,4727.0,0,20.4,1,9,3,2,3,73.6,73.0,0,10,0
Semi-urban,19949.0,2,7.9,2,3,1,2,2,30.4,52.6,2,6,1
Rural,7841.0,0,1.16,0,10,3,3,2,72.0,71.2,0,6,0
Urban,11102.0,0,2.0,1,4,1,2,1,39.4,53.0,0,10,1
Semi-urban,2000.0,0,1.1,2,1,1,2,3,71.1,89.1,0,8,0
Rural,6649.0,1,0.77,0,2,1,3,1,77.1,85.2,0,8,0
Urban,30386.0,0,19.5,2,8,2,3,2,96.5,46.7,0,9,0
Semi-urban,7443.0,0,1.0,1,6,2,3,1,10.0,42.8,1,9,1
Urban,9096.0,2,3.7,0,5,2,3,1,55.8,39.4,0,6,1
Semi-urban,5227.0,0,12.9,0,7,2,1,2,94.6,68.2,1,3,0
Urban,14358.0,0,17.5,0,7,2,2,2,60.7,49.7,5,10,1
Urban,14966.0,0,7.4,1,5,2,3,2,68.5,50.5,0,6,1
Urban,11542.0,2,14.2,1,5,2,2,2,29.0,43.3,1,6,0
Semi-urban,6313.0,1,2.3,0,5,3,2,1,35.8,42.7,0,3,1
Semi-urban,11698.0,1,3.7,1,5,2,3,2,67.4,67.4,0,8,0
Rural,7241.0,0,37.25,0,5,2,3,1,24.9,50.4,1,6,1
Urban,17386.0,2,7.8,1,6,3,3,3,62.3,72.3,0,8,0
Semi-urban,27402.0,1,1.2,0,8,3,3,1,74.1,70.9,0,7,0
Urban,44678.0,1,0.6,2,4,1,2,2,27.1,82.7,1,9,0
Urban,26045.0,1,4.0,2,9,2,3,2,79.2,49.8,2,5,0
Semi-urban,2000.0,1,4.8,2,10,3,2,3,21.2,35.5,6,5,1
Rural,7900.0,2,9.29,1,6,2,3,2,85.8,97.3,0,6,0
Urban,6946.0,0,22.7,2,6,2,2,1,94.3,41.6,0,4,1
Urban,5615.0,1,13.5,1,5,3,2,1,79.1,50.8,3,4,1
Urban,49632.0,0,6.5,2,4,2,3,2,34.8,54.7,3,8,1
Urban,3579.0,0,1.1,2,10,2,1,3,58.4,64.5,0,8,0
Urban,10332.0,0,11.5,2,4,1,2,3,61.7,49.8,0,7,0
Semi-urban,12718.0,1,7.0,1,7,3,1,3,24.8,75.8,2,7,0
Semi-urban,31675.0,0,17.7,0,4,2,3,2,65.6,100.0,0,9,0
Urban,31913.0,0,0.6,1,9,3,2,2,70.3,100.0,0,8,0
Rural,8848.0,0,20.82,0,3,1,1,2,95.3,76.5,0,7,0
Urban,2198.0,1,18.0,0,3,1,2,3,61.0,65.0,4,5,1
Rural,2000.0,0,9.09,1,7,2,1,3,83.8,43.6,2,5,0
Semi-urban,32165.0,1,31.3,1,2,1,3,2,38.7,62.2,1,6,1
Semi-urban,5117.0,1,8.5,1,9,2,1,3,58.6,50.1,3,8,0
Rural,14964.0,0,1.35,1,7,2,1,3,80.4,35.0,6,7,1
Urban,2269.0,0,2.3,2,9,3,3,2,85.1,52.3,1,5,0
Urban,49493.0,1,25.3,1,2,1,2,1,40.4,77.8,1,6,1
Semi-urban,6241.0,2,5.9,1,9,2,2,3,71.9,87.2,2,7,0
Rural,3531.0,1,0.7,1,4,2,1,2,67.5,59.1,1,8,0
Rural,5985.0,0,10.04,0,6,3,2,2,29.6,64.0,0,9,0
Semi-urban,16587.0,2,11.4,1,1,2,3,2,82.9,89.5,4,6,1
Semi-urban,2623.0,1,6.9,0,8,2,2,1,16.7,55.0,2,6,1
Urban,7615.0,0,0.5,1,6,1,1,3,89.9,63.9,0,5,0
Rural,2216.0,2,4.07,1,3,2,3,1,28.2,83.9,1,8,1
Semi-urban,12018.0,0,5.9,2,7,2,3,1,68.8,37.0,9,7,1
Semi-urban,26826.0,0,9.6,1,4,1,2,1,85.9,69.0,0,7,0
Urban,8222.0,0,10.2,1,7,2,1,3,16.4,86.2,0,8,0
Rural,7384.0,1,12.48,2,6,2,1,2,88.4,61.1,0,5,0
Rural,4783.0,0,12.78,0,1,2,3,1,75.3,60.7,0,6,1
Urban,50000.0,2,3.4,1,7,2,1,3,11.5,59.3,1,7,0
Urban,16473.0,1,8.4,0,7,2,2,2,70.9,50.9,0,4,0
Urban,12706.0,1,0.5,1,5,3,2,1,10.0,60.3,4,8,1
Rural,4980.0,1,3.63,1,4,1,2,1,50.3,59.3,1,7,1
Semi-urban,28479.0,1,2.1,1,7,1,2,3,72.9,48.1,2,6,0
Rural,3487.0,2,21.05,0,6,2,2,1,68.0,71.6,6,6,1
Semi-urban,2000.0,1,2.1,1,5,1,2,2,66.6,35.0,7,6,1
Rural,3850.0,1,1.74,1,10,3,1,2,82.9,48.3,1,5,0
Rural,9049.0,1,7.78,0,6,2,2,1,36.4,40.8,1,9,1
Semi-urban,31539.0,2,15.7,2,3,2,2,1,55.4,45.8,0,6,1
Rural,14256.0,0,16.21,1,4,1,1,3,68.5,69.2,0,7,0
Semi-urban,19649.0,1,17.0,1,5,2,3,1,82.6,90.4,0,8,0
Semi-urban,2971.0,2,10.9,0,8,3,2,1,51.9,39.4,2,5,0
Urban,12670.0,0,4.4,0,8,2,1,3,17.3,77.9,5,7,1
Urban,5633.0,0,4.5,0,1,1,3,1,43.0,70.8,3,7,1
Semi-urban,13921.0,0,3.1,0,8,2,3,2,69.4,46.7,0,10,0
Rural,2700.0,0,16.37,1,10,3,2,2,73.9,50.2,0,8,0
Rural,5898.0,1,5.57,1,4,2,2,2,65.0,61.3,0,7,0
Semi-urban,14754.0,0,0.5,1,6,2,3,3,71.7,39.6,4,3,1
Rural,7978.0,0,12.9,2,6,1,3,3,85.5,89.5,0,10,1
Rural,3734.0,0,24.23,2,7,2,2,3,51.4,40.0,3,10,1
Semi-urban,3982.0,2,5.1,0,4,1,2,2,53.8,53.2,3,6,1
Semi-urban,3661.0,0,19.7,0,6,1,1,2,15.2,49.0,1,4,1
Semi-urban,8693.0,2,45.6,1,3,2,3,1,25.2,76.3,0,10,1
Rural,2946.0,1,12.57,0,3,2,3,1,54.5,39.3,3,7,1
Semi-urban,10032.0,2,8.4,2,5,2,3,3,11.3,64.0,1,5,1
Rural,3415.0,1,1.63,1,3,3,2,3,76.6,85.6,2,8,0
Semi-urban,11993.0,1,2.5,0,6,2,1,3,65.8,68.8,2,7,0
Rural,2000.0,1,14.24,1,3,1,2,1,68.4,65.6,1,6,1
Semi-urban,4476.0,1,10.8,2,3,1,2,1,41.6,74.6,1,8,1
Urban,6236.0,1,19.9,1,5,2,2,3,50.1,45.6,2,5,1
Semi-urban,6748.0,2,2.6,1,8,3,2,2,73.1,78.2,8,7,1
Semi-urban,43040.0,1,1.4,2,6,3,3,1,51.3,54.1,1,5,0
Rural,36997.0,1,14.34,1,3,2,3,2,72.9,86.4,2,9,1
Urban,4706.0,0,15.0,0,2,1,1,3,35.6,62.3,0,6,1
Urban,2716.0,0,3.0,0,10,2,2,3,84.9,37.5,6,10,1
Semi-urban,12373.0,1,15.5,1,10,2,2,2,57.8,62.7,0,7,0
Semi-urban,2169.0,0,17.7,0,2,1,3,1,61.1,82.1,1,6,1
Rural,13774.0,0,13.24,2,7,2,1,2,85.2,59.0,0,7,0
Semi-urban,22719.0,0,3.5,1,8,2,1,2,26.4,41.1,2,8,0
Rural,17421.0,1,4.32,2,3,3,3,1,14.9,35.0,1,4,1
Rural,6589.0,2,7.88,1,4,2,2,1,50.4,61.1,2,7,0
Semi-urban,8112.0,2,12.1,0,2,1,2,1,61.2,59.0,6,6,1
Semi-urban,26537.0,1,27.6,2,7,2,3,1,78.3,88.2,2,8,0
Urban,4877.0,1,8.5,1,5,2,3,2,38.7,45.1,1,3,1
Urban,11678.0,2,2.2,2,6,2,2,3,95.0,52.1,0,8,0
Rural,3015.0,1,22.97,1,6,3,3,1,54.8,59.0,0,7,1
Rural,9854.0,1,3.7,1,10,3,3,3,54.8,56.7,2,7,0
Urban,13816.0,0,13.2,1,6,2,3,1,34.0,47.7,1,8,1
Urban,25753.0,2,1.9,1,5,2,2,3,81.9,53.4,6,5,1
Semi-urban,4459.0,1,2.9,0,6,2,1,2,18.1,90.8,0,7,0
Rural,3240.0,0,0.84,1,8,3,1,3,90.5,58.5,1,8,0
Rural,7953.0,0,0.8,0,5,1,1,3,66.5,88.0,0,10,0
Urban,25772.0,1,17.4,1,4,2,3,2,43.5,52.8,0,9,1
Urban,7466.0,2,5.6,0,6,2,3,2,83.8,39.8,0,5,0
Urban,36690.0,2,6.5,1,8,2,2,2,92.0,78.9,0,9,0
Rural,10659.0,2,17.86,1,6,3,3,1,46.9,56.0,0,5,1
Urban,4349.0,1,3.2,1,7,2,1,2,73.6,63.5,8,4,1
Rural,2506.0,1,14.97,1,4,1,1,2,82.7,64.0,0,2,0
Rural,2949.0,1,15.6,1,3,1,2,2,83.1,62.3,2,7,1
Urban,17107.0,2,1.1,1,6,3,3,3,52.1,58.0,8,8,1
Urban,3129.0,0,18.5,1,3,1,2,3,74.6,62.4,8,8,1
Semi-urban,3257.0,1,15.5,1,6,1,3,2,90.0,57.4,0,7,0
Urban,8692.0,0,16.6,1,5,3,2,1,73.0,35.0,2,4,1
Rural,28749.0,1,4.91,0,3,2,3,1,60.5,78.0,1,10,1
Urban,24811.0,1,0.7,1,8,3,2,2,63.0,66.7,0,6,0
Urban,11039.0,1,1.8,1,9,2,2,2,41.2,44.7,9,3,1
Rural,23320.0,1,36.5,0,5,3,2,2,23.5,61.3,1,8,0
Semi-urban,4367.0,0,18.0,0,5,1,1,3,40.2,35.0,1,4,1
Urban,4809.0,0,11.7,2,9,2,2,3,68.3,39.3,1,7,0
Urban,7490.0,2,24.4,0,6,1,2,3,42.8,45.9,1,3,1
Urban,50000.0,2,2.2,1,5,2,2,1,70.9,59.2,0,7,0
Semi-urban,4736.0,1,4.1,2,6,2,2,2,63.7,99.4,0,8,0
Rural,19773.0,1,2.84,2,9,2,2,2,67.5,61.8,1,5,0
Urban,12087.0,1,1.3,0,3,1,1,3,68.8,57.1,0,9,0
Rural,20074.0,0,4.34,0,2,1,2,2,67.6,63.5,0,7,0
Urban,10069.0,2,0.9,1,5,2,1,2,25.9,62.5,5,7,1
Semi-urban,6722.0,0,5.8,2,6,1,1,3,80.0,35.0,4,6,1
Semi-urban,13789.0,0,0.5,1,4,2,3,3,10.0,49.1,1,5,1
Semi-urban,12502.0,0,17.4,0,4,2,3,1,76.0,83.2,2,7,0
Urban,29632.0,2,4.4,2,6,2,2,2,24.1,60.1,6,5,1
Semi-urban,24947.0,0,6.1,0,10,3,1,3,55.6,55.5,2,9,0
Urban,25857.0,0,4.9,1,8,3,1,3,95.9,72.0,1,10,0
Urban,13809.0,1,9.7,1,4,2,3,2,87.0,40.2,8,8,1
Urban,5132.0,1,6.0,0,9,2,1,3,63.4,86.8,0,7,0
Urban,7131.0,1,9.3,1,6,2,3,3,62.3,86.9,0,6,0
Rural,5706.0,0,2.08,2,7,3,3,2,18.8,38.8,0,8,1
Rural,17018.0,0,3.44,0,8,2,1,3,69.3,63.0,0,4,0
Urban,3531.0,0,6.2,1,6,2,2,3,65.1,97.2,0,8,0
Semi-urban,2000.0,0,20.2,2,4,1,3,3,65.8,61.3,1,4,1
Semi-urban,6066.0,0,19.6,1,5,3,2,1,76.7,47.4,0,10,0
Urban,8295.0,1,18.4,0,9,3,1,2,86.8,75.9,0,6,0
Rural,2000.0,2,9.16,2,7,2,3,3,74.6,70.1,2,9,0
Semi-urban,4262.0,1,23.3,1,4,1,2,3,10.0,66.5,1,4,1
Urban,10800.0,2,4.5,1,8,2,2,3,76.3,67.9,1,5,0
Rural,3757.0,2,3.64,1,6,2,1,2,62.1,61.1,1,9,0
Urban,9728.0,1,31.8,0,2,1,3,1,85.1,77.9,0,6,1
Semi-urban,3942.0,0,6.2,0,3,1,3,1,84.0,48.5,5,7,1
Urban,6711.0,2,27.2,0,6,3,2,3,70.8,37.1,2,5,0
Rural,4793.0,0,7.02,0,8,2,2,2,67.9,97.1,8,10,1
Urban,24943.0,0,24.3,0,6,3,3,1,17.7,69.0,4,5,1
Urban,12529.0,0,7.4,1,5,2,1,2,88.2,77.4,4,8,0
Urban,41022.0,1,0.5,0,4,2,3,1,34.1,44.3,5,4,1
Urban,12513.0,2,9.4,0,9,2,1,2,81.7,52.6,0,6,0
Semi-urban,12385.0,0,4.6,0,6,3,1,3,42.4,45.3,1,4,0
Urban,38625.0,0,10.9,1,10,3,3,3,60.4,65.5,4,6,1
Semi-urban,5607.0,0,3.0,2,7,2,2,2,13.7,52.6,1,6,1
Urban,5517.0,1,1.7,0,7,2,2,3,56.2,71.2,5,8,0
Urban,24034.0,1,10.2,0,6,1,1,3,39.7,65.0,1,2,0
Semi-urban,7796.0,0,5.0,2,4,1,3,2,59.7,49.6,1,6,1
Semi-urban,10743.0,0,14.2,2,6,2,2,2,83.8,63.2,0,6,0
Urban,14323.0,1,1.6,1,6,3,3,3,49.6,67.3,1,6,0
